cluster,idx,rmsd,e_opt,e_gen,e_diff
0,26,0.045033281151116926,-361.52472999772027,-361.52268548178733,-1.2829337479179515
0,57,0.03330781302871754,-361.5246962147749,-361.52253829388195,-1.3540953603293815
0,59,0.0339354976238231,-361.5247927035692,-361.52160107739587,-2.0027454237485642
0,61,0.0437289869931748,-361.5248030469257,-361.5215639172139,-2.0325538941551713
0,67,0.027256807473148847,-361.5248251862946,-361.5220559650249,-1.7376863467468695
0,68,0.031453459197813914,-361.52479700754674,-361.52160832946765,-2.0008954946253255
0,80,0.02032683326544428,-361.5247912425787,-361.5240125882554,-0.48860558787851005
0,86,0.042093308386041486,-361.52476845613114,-361.5210897161898,-2.3084093131880934
0,87,0.05395219515812963,-361.5248004872648,-361.52079324056905,-2.5145473016007713
0,105,0.05222846170831226,-361.5248288487407,-361.5214384142161,-2.1274976641802823
0,108,0.04003554546485831,-361.52473409269027,-361.52218425603525,-1.6000225010256486
0,110,0.03042794837172743,-361.5248004249712,-361.522258386632,-1.595129057839273
0,127,0.036822937115383494,-361.5248489242267,-361.5217413505677,-1.9500024710276875
1,36,0.04026129930663033,-361.521571402043,-361.5197021154416,-1.1729773423726897
1,43,0.03036973704423479,-361.52155530777804,-361.5191164709995,-1.5303700785324281
1,44,0.030282521435235837,-361.52156318211036,-361.5181972941501,-2.112094695043396
1,46,0.034511970231342136,-361.5215736688984,-361.5191647402459,-1.5116027294257606
1,78,0.03149246151311331,-361.52152666192234,-361.5196158168685,-1.199055271277274
1,84,0.03126587228639371,-361.5215807054647,-361.5180501127636,-2.215446919947084
1,117,0.015066995653079097,-361.5215856381173,-361.51963859110873,-1.221771997878136
1,122,0.03686733499590688,-361.52159816074334,-361.5186149854817,-1.8719424766837278
1,124,0.02260782341750346,-361.52148929140236,-361.52022620807867,-0.7925847856171231
2,2,0.050410142220483414,-361.52887391746583,-361.5233508071222,-3.465751740628633
2,17,0.04294572824796363,-361.5288357058364,-361.5231216308419,-3.5855820590491305
2,58,0.03339244086585731,-361.52883936245024,-361.5254595368248,-2.1208405799484353
2,76,0.04727335969873483,-361.5288738023237,-361.52398289968994,-3.0690414026761914
2,79,0.04457323573504733,-361.5288589883932,-361.52390218434186,-3.1103945422198365
2,121,0.0365733760177586,-361.52888620252793,-361.5245316607075,-2.7324749923128877
3,29,0.10828754791245417,-361.5228521245792,-361.5002559591451,-14.179093809894567
3,70,0.100502458631893,-361.52307177769984,-361.5081711767737,-9.350127081143853
4,9,0.05179861580460027,-361.5623203755087,-361.5596591580649,-1.6699139459853996
5,91,0.3578847651742554,-361.68038792473874,-361.51889721983565,-101.33541732668746
